Ticker,Graham Score,Exchange
THG,4,NYSE
INGR,4,NYSE
ENS,4,NYSE
RBC,4,NYSE
PRLB,4,NYSE
ALG,4,NYSE
TT,4,NYSE
PB,4,NYSE
KIM,4,NYSE
BZH,4,NYSE
CYD,4,NYSE
CPT,4,NYSE
MTH,4,NYSE
INN,4,NYSE
AFG,4,NYSE
LEN,4,NYSE
FF,4,NYSE
ASH,4,NYSE
CI,4,NYSE
WOR,4,NYSE
PHM,4,NYSE
BRC,4,NYSE
KAI,4,NYSE
NSA,4,NYSE
TFX,5,NYSE
RHI,4,NYSE
FNB,4,NYSE
GWW,4,NYSE
BUD,4,NYSE
KRG,4,NYSE
HRL,4,NYSE
WELL,4,NYSE
MLR,4,NYSE
ASGN,4,NYSE
BKE,4,NYSE
KEYS,4,NYSE
UNM,4,NYSE
FSS,4,NYSE
AIZN,4,NYSE
USPH,4,NYSE
ASB,5,NYSE
JPM,4,NYSE
MED,5,NYSE
SKM,4,NYSE
HLIO,4,NYSE
WAT,4,NYSE
ETD,4,NYSE
ST,4,NYSE
CCU,4,NYSE
PRU,4,NYSE
PPL,4,NYSE
MSA,4,NYSE
CNS,4,NYSE
UMC,4,NYSE
EGP,4,NYSE
JHG,4,NYSE
WCC,4,NYSE
FAF,5,NYSE
VEEV,4,NYSE
BWA,4,NYSE
DDT,4,NYSE
WLKP,4,NYSE
ASIX,4,NYSE
ANET,4,NYSE
IBP,4,NYSE
BCH,4,NYSE
SLG,4,NYSE
RMD,4,NYSE
LNN,4,NYSE
SMP,4,NYSE
BLD,4,NYSE
BSAC,4,NYSE
GME,4,NYSE
WAL,4,NYSE
SUI,4,NYSE
CRL,4,NYSE
EMR,4,NYSE
CSL,4,NYSE
DHI,4,NYSE
CHE,4,NYSE
WGO,5,NYSE
GOOS,4,NYSE
ASBA,4,NYSE
AVAL,4,NYSE
WSO,4,NYSE
MGRD,4,NYSE
MET,4,NYSE
AGO,4,NYSE
PKG,4,NYSE
GS,4,NYSE
MTRN,5,NYSE
SBH,4,NYSE
EVR,4,NYSE
AFL,4,NYSE
DQ,4,NYSE
RJF,4,NYSE
NTR,4,NYSE
NEU,4,NYSE
SNV,4,NYSE
UNF,4,NYSE
RNST,4,NYSE
JEF,4,NYSE
GHI,4,NYSE
VMI,4,NYSE
DRH,4,NYSE
GTES,4,NYSE
INFY,4,NYSE
CRI,4,NYSE
SPG,4,NYSE
LND,4,NYSE
DLB,4,NYSE
TNL,4,NYSE
MTX,4,NYSE
MWA,4,NYSE
PRH,4,NYSE
COF,4,NYSE
KNSL,4,NYSE
TX,4,NYSE
LU,4,NYSE
UNMA,4,NYSE
KFRC,4,NYSE
A,4,NYSE
MTG,4,NYSE
FMS,4,NYSE
MLM,4,NYSE
BPT,4,NYSE
CCS,4,NYSE
TSN,4,NYSE
HOG,4,NYSE
AFGB,4,NYSE
MGRE,4,NYSE
TSLX,4,NYSE
STT,4,NYSE
PKX,4,NYSE
RS,4,NYSE
TRN,4,NYSE
LYB,4,NYSE
STE,4,NYSE
KMX,4,NYSE
EPR,4,NYSE
EL,4,NYSE
AMG,4,NYSE
MGR,4,NYSE
UDR,4,NYSE
MTB,4,NYSE
REX,5,NYSE
RVTY,4,NYSE
IBM,4,NYSE
HXL,5,NYSE
HVT,4,NYSE
PFH,4,NYSE
PK,4,NYSE
NKE,4,NYSE
EPAM,4,NYSE
MGRB,4,NYSE
UVV,4,NYSE
AIZ,4,NYSE
ALLE,4,NYSE
CODI,4,NYSE
APH,4,NYSE
CMC,4,NYSE
CINT,4,NYSE
HLF,4,NYSE
EW,4,NYSE
CMP,4,NYSE
BAP,4,NYSE
SNA,4,NYSE
VNO,4,NYSE
RGR,5,NYSE
GL,4,NYSE
IX,4,NYSE
USNA,4,NYSE
AFGD,4,NYSE
NUE,4,NYSE
AFGC,4,NYSE
WIT,4,NYSE
SCL,4,NYSE
YETI,4,NYSE
SSD,4,NYSE
EXP,4,NYSE
LCII,4,NYSE
IP,4,NYSE
UI,4,NYSE
RCI,4,NYSE
CBU,4,NYSE
WLK,4,NYSE
UVE,4,NYSE
STM,4,NYSE
AMP,4,NYSE
AIR,4,NYSE
ORI,4,NYSE
FN,4,NYSE
MGA,4,NYSE
AIT,4,NYSE
NVS,4,NYSE
PRA,4,NYSE
PII,4,NYSE
ALX,4,NYSE
KBH,4,NYSE
RDY,4,NYSE
SCCO,4,NYSE
SAM,4,NYSE
GMED,4,NYSE
NRT,4,NYSE
ASR,4,NYSE
RLJ,4,NYSE
OHI,4,NYSE
AUB,4,NYSE
JNPR,4,NYSE
BMI,4,NYSE
LEA,4,NYSE
ATHM,4,NYSE
HPQ,4,NYSE
SNN,4,NYSE
GSK,4,NYSE
PRI,4,NYSE
DE,4,NYSE
BXP,4,NYSE
IEX,4,NYSE
PRS,4,NYSE
GATX,4,NYSE
ZWS,4,NYSE
LYG,4,NYSE
AXTA,4,NYSE
SQM,4,NYSE
IIIN,4,NYSE
MHO,4,NYSE
TMHC,4,NYSE
ALSN,4,NYSE
TGNA,4,NYSE
TPL,4,NYSE
GRC,4,NYSE
MTR,4,NYSE
FHI,4,NYSE
TSM,4,NYSE
BCC,4,NYSE
FNF,4,NYSE
DECK,4,NYSE
EE,4,NYSE
VICI,4,NYSE
GGG,4,NYSE
AFGE,4,NYSE
FHN,4,NYSE
GRMN,4,NYSE
BOOT,4,NYSE
TPH,4,NYSE
WST,4,NYSE
AYI,4,NYSE
TU,4,NYSE
HTH,4,NYSE
DOV,4,NYSE
NNI,4,NYSE
BN,4,NYSE
TRV,4,NYSE
AIN,4,NYSE
SXT,4,NYSE
MLI,4,NYSE
TOL,4,NYSE
ONTO,4,NYSE
BHE,4,NYSE
PKE,4,NYSE
BFH,5,NYSE
LRN,4,NYSE
EG,4,NYSE
MAN,4,NYSE
ROG,5,NYSE
BIPH,4,NYSE
MDT,4,NYSE
CR,4,NYSE
GBCI,4,NYSE
TDY,4,NYSE
HEI,4,NYSE
WMK,4,NYSE
CLX,4,NYSE
STR,4,NYSE
DBRG,4,NYSE
BLK,4,NYSE
SXI,4,NYSE
BEN,5,NYSE
GRBK,4,NYSE
NVR,4,NYSE
DY,4,NYSE
